Fecha,I0,N
02/03/20,1,2523925
03/03/20,0,
04/03/20,0,
05/03/20,1,
06/03/20,0,
07/03/20,1,
08/03/20,0,
09/03/20,4,
10/03/20,4,
11/03/20,2,
12/03/20,9,
13/03/20,6,
14/03/20,10,
15/03/20,16,
16/03/20,16,
17/03/20,15,
18/03/20,18,
19/03/20,20,
20/03/20,35,
21/03/20,20,
22/03/20,16,
23/03/20,26,
24/03/20,25,
25/03/20,27,
26/03/20,22,
27/03/20,16,
28/03/20,18,
29/03/20,9,
30/03/20,23,
31/03/20,16,
01/04/20,23,
02/04/20,21,
03/04/20,17,
04/04/20,15,
05/04/20,18,
06/04/20,20,
07/04/20,16,
08/04/20,14,
09/04/20,27,
10/04/20,12,
11/04/20,20,
12/04/20,18,
13/04/20,34,
14/04/20,22,
15/04/20,27,
16/04/20,11,
17/04/20,14,
18/04/20,28,
19/04/20,23,
20/04/20,43,
21/04/20,25,
22/04/20,31,
23/04/20,23,
24/04/20,27,
25/04/20,26,
26/04/20,33,
27/04/20,33,
28/04/20,33,
29/04/20,28,
30/04/20,31,
01/05/20,69,
02/05/20,51,
03/05/20,37,
04/05/20,58,
05/05/20,55,
06/05/20,49,
07/05/20,54,
08/05/20,65,
09/05/20,85,
10/05/20,81,
11/05/20,68,
12/05/20,71,
13/05/20,96,
14/05/20,93,
15/05/20,96,
16/05/20,86,
17/05/20,70,
18/05/20,122,
19/05/20,92,
20/05/20,131,
21/05/20,89,
22/05/20,104,
23/05/20,98,
24/05/20,70,
25/05/20,107,
26/05/20,108,
27/05/20,109,
28/05/20,136,
29/05/20,118,
30/05/20,121,
31/05/20,98,
01/06/20,242,
02/06/20,128,
03/06/20,133,
04/06/20,106,
05/06/20,242,
06/06/20,174,
07/06/20,134,
08/06/20,222,
09/06/20,211,
10/06/20,227,
11/06/20,230,
12/06/20,210,
13/06/20,166,
14/06/20,150,
15/06/20,186,
16/06/20,234,
17/06/20,222,
18/06/20,203,
19/06/20,245,
20/06/20,273,
21/06/20,219,
22/06/20,347,
23/06/20,340,
24/06/20,318,
25/06/20,440,
26/06/20,421,
27/06/20,380,
28/06/20,371,
29/06/20,416,
30/06/20,479,
01/07/20,592,
02/07/20,502,
03/07/20,468,
04/07/20,444,
05/07/20,437,
06/07/20,666,
07/07/20,550,
08/07/20,497,
09/07/20,564,
10/07/20,638,
11/07/20,515,
12/07/20,494,
13/07/20,617,
14/07/20,655,
15/07/20,582,
16/07/20,585,
17/07/20,570,
18/07/20,522,
19/07/20,440,
20/07/20,560,
21/07/20,585,
22/07/20,459,
23/07/20,492,
24/07/20,535,
25/07/20,548,
26/07/20,426,
27/07/20,803,
28/07/20,493,
29/07/20,561,
30/07/20,480,
31/07/20,512,
01/08/20,692,
02/08/20,537,
03/08/20,542,
04/08/20,591,
05/08/20,451,
06/08/20,440,
07/08/20,403,
08/08/20,398,
09/08/20,433,
10/08/20,508,
11/08/20,399,
12/08/20,435,
13/08/20,402,
14/08/20,405,
15/08/20,381,
16/08/20,373,
17/08/20,359,
18/08/20,431,
19/08/20,422,
20/08/20,671,
21/08/20,426,
22/08/20,282,
23/08/20,349,
24/08/20,391,
25/08/20,380,
26/08/20,315,
27/08/20,381,
28/08/20,343,
29/08/20,299,
30/08/20,313,
31/08/20,491,
01/09/20,437,
02/09/20,421,
03/09/20,389,
04/09/20,351,
05/09/20,330,
06/09/20,354,
07/09/20,397,
08/09/20,418,
09/09/20,480,
10/09/20,563,
11/09/20,457,
12/09/20,327,
13/09/20,384,
14/09/20,475,
15/09/20,458,
16/09/20,395,
17/09/20,383,
18/09/20,418,
19/09/20,291,
20/09/20,384,
21/09/20,457,
22/09/20,428,
23/09/20,459,
24/09/20,453,
25/09/20,443,
26/09/20,363,
27/09/20,318,
28/09/20,693,
29/09/20,558,
30/09/20,524,
01/10/20,593,
02/10/20,411,
03/10/20,331,
04/10/20,380,
05/10/20,469,
06/10/20,443,
07/10/20,395,
08/10/20,416,
09/10/20,376,
10/10/20,375,
11/10/20,372,
12/10/20,431,
13/10/20,473,
14/10/20,444,
15/10/20,630,
16/10/20,600,
17/10/20,433,
18/10/20,364,
19/10/20,609,
20/10/20,660,
21/10/20,544,
22/10/20,679,
23/10/20,507,
24/10/20,376,
25/10/20,522,
26/10/20,651,
27/10/20,611,
28/10/20,576,
29/10/20,563,
30/10/20,509,
31/10/20,470,
01/11/20,446,
02/11/20,437,
03/11/20,432,
04/11/20,458,
05/11/20,622,
06/11/20,444,
07/11/20,361,
08/11/20,338,
09/11/20,515,
10/11/20,620,
11/11/20,456,
12/11/20,538,
13/11/20,620,
14/11/20,518,
15/11/20,453,
16/11/20,521,
17/11/20,587,
18/11/20,465,
19/11/20,574,
20/11/20,659,
21/11/20,622,
22/11/20,529,
23/11/20,701,
24/11/20,676,
25/11/20,574,
26/11/20,732,
27/11/20,554,
28/11/20,622,
29/11/20,485,
30/11/20,621,
01/12/20,706,
02/12/20,539,
03/12/20,659,
04/12/20,697,
05/12/20,631,
06/12/20,589,
07/12/20,855,
08/12/20,598,
09/12/20,578,
10/12/20,883,
11/12/20,731,
12/12/20,802,
13/12/20,690,
14/12/20,780,
15/12/20,947,
16/12/20,1050,
17/12/20,1057,
18/12/20,851,
19/12/20,749,
20/12/20,488,
21/12/20,573,
22/12/20,605,
23/12/20,536,
24/12/20,755,
25/12/20,508,
26/12/20,560,
27/12/20,621,
28/12/20,804,
29/12/20,1012,
30/12/20,1581,
31/12/20,1124,
01/01/21,989,
02/01/21,826,
03/01/21,952,
04/01/21,1319,
05/01/21,1147,
06/01/21,1148,
07/01/21,1218,
08/01/21,1285,
09/01/21,1130,
10/01/21,1063,
11/01/21,911,
12/01/21,947,
13/01/21,923,
14/01/21,1021,
15/01/21,870,
16/01/21,756,
17/01/21,722,
18/01/21,842,
19/01/21,804,
20/01/21,734,
21/01/21,639,
22/01/21,634,
23/01/21,690,
24/01/21,600,
25/01/21,746,
26/01/21,702,
27/01/21,671,
28/01/21,580,
29/01/21,477,
30/01/21,361,
31/01/21,362,
01/02/21,475,
02/02/21,405,
03/02/21,432,
04/02/21,385,
05/02/21,322,
06/02/21,210,
07/02/21,230,
08/02/21,369,
09/02/21,296,
10/02/21,316,
11/02/21,314,
12/02/21,164,
13/02/21,149,
14/02/21,146,
15/02/21,217,
16/02/21,265,
17/02/21,192,
18/02/21,257,
19/02/21,264,
20/02/21,220,
21/02/21,214,
22/02/21,242,
23/02/21,260,
24/02/21,178,
25/02/21,260,
26/02/21,266,
27/02/21,279,
28/02/21,183,
01/03/21,292,
02/03/21,286,
03/03/21,239,
04/03/21,271,
05/03/21,294,
06/03/21,235,
07/03/21,303,
08/03/21,316,
09/03/21,317,
10/03/21,285,
11/03/21,265,
12/03/21,347,
13/03/21,319,
14/03/21,308,
15/03/21,508,
16/03/21,447,
17/03/21,365,
18/03/21,445,
19/03/21,504,
20/03/21,512,
21/03/21,284,
22/03/21,440,
23/03/21,618,
24/03/21,448,
25/03/21,634,
26/03/21,747,
27/03/21,850,
28/03/21,899,
29/03/21,1135,
30/03/21,940,
31/03/21,779,
01/04/21,812,
02/04/21,1007,
03/04/21,1023,
04/04/21,947,
05/04/21,836,
06/04/21,944,
07/04/21,663,
08/04/21,888,
09/04/21,1283,
10/04/21,987,
11/04/21,775,
12/04/21,904,
13/04/21,772,
14/04/21,535,
15/04/21,685,
16/04/21,765,
17/04/21,558,
18/04/21,499,
19/04/21,575,
20/04/21,449,
21/04/21,403,
22/04/21,536,
23/04/21,539,
24/04/21,483,
25/04/21,522,
26/04/21,548,
27/04/21,481,
28/04/21,331,
29/04/21,467,
30/04/21,489,
01/05/21,580,
02/05/21,406,
03/05/21,611,
04/05/21,338,
05/05/21,507,
06/05/21,358,
07/05/21,526,
08/05/21,611,
09/05/21,572,
10/05/21,711,
11/05/21,603,
12/05/21,482,
13/05/21,724,
14/05/21,701,
15/05/21,790,
16/05/21,712,
17/05/21,682,
18/05/21,708,
19/05/21,524,
20/05/21,819,
21/05/21,827,
22/05/21,1050,
23/05/21,994,
24/05/21,1192,
25/05/21,1004,
26/05/21,742,
27/05/21,577,
28/05/21,1166,
29/05/21,1170,
30/05/21,1261,
31/05/21,1293,
01/06/21,1455,
02/06/21,995,
03/06/21,793,
04/06/21,1285,
05/06/21,1403,
06/06/21,1394,
07/06/21,1528,
08/06/21,1627,
09/06/21,1281,
10/06/21,1505,
11/06/21,1499,
12/06/21,1617,
13/06/21,1697,
14/06/21,2594,
15/06/21,2743,
16/06/21,2381,
17/06/21,2292,
18/06/21,1920,
19/06/21,1543,
20/06/21,1274,
21/06/21,1916,
22/06/21,1843,
23/06/21,1813,
24/06/21,1770,
25/06/21,1645,
26/06/21,1310,
27/06/21,1195,
28/06/21,1635,
29/06/21,1442,
30/06/21,1467,
01/07/21,1170,
02/07/21,1081,
03/07/21,836,
04/07/21,1131,
05/07/21,968,
06/07/21,1166,
07/07/21,1324,
08/07/21,1180,
09/07/21,1024,
10/07/21,848,
11/07/21,794,
12/07/21,919,
13/07/21,852,
14/07/21,827,
15/07/21,793,
16/07/21,689,
17/07/21,533,
18/07/21,537,
19/07/21,580,
20/07/21,590,
21/07/21,595,
22/07/21,544,
23/07/21,462,
24/07/21,389,
25/07/21,439,
26/07/21,523,
27/07/21,568,
28/07/21,449,
29/07/21,348,
30/07/21,300,
31/07/21,212,
01/08/21,245,
02/08/21,287,
03/08/21,286,
04/08/21,306,
05/08/21,189,
06/08/21,173,
07/08/21,125,
08/08/21,122,
09/08/21,157,
10/08/21,162,
11/08/21,176,
12/08/21,129,
13/08/21,126,
14/08/21,157,
15/08/21,184,
16/08/21,135,
17/08/21,238,
18/08/21,217,
19/08/21,192,
20/08/21,199,
21/08/21,130,
22/08/21,112,
23/08/21,121,
24/08/21,151,
25/08/21,128,
26/08/21,159,
27/08/21,114,
28/08/21,128,
29/08/21,84,
30/08/21,91,
31/08/21,126,
01/09/21,126,
02/09/21,140,
03/09/21,112,
04/09/21,107,
05/09/21,102,
06/09/21,93,
07/09/21,135,
08/09/21,120,
09/09/21,129,
10/09/21,124,
11/09/21,111,
12/09/21,112,
13/09/21,94,
14/09/21,115,
15/09/21,113,
16/09/21,113,
17/09/21,118,
18/09/21,112,
19/09/21,112,
20/09/21,88,
21/09/21,128,
22/09/21,116,
23/09/21,129,
24/09/21,92,
25/09/21,139,
26/09/21,112,
27/09/21,106,
28/09/21,126,
29/09/21,139,
30/09/21,111,
01/10/21,101,
02/10/21,100,
03/10/21,115,
04/10/21,93,
05/10/21,121,
06/10/21,169,
07/10/21,121,
08/10/21,145,
09/10/21,86,
10/10/21,74,
11/10/21,88,
12/10/21,88,
13/10/21,120,
14/10/21,95,
15/10/21,114,
16/10/21,82,
17/10/21,98,
18/10/21,84,
19/10/21,144,
20/10/21,95,
21/10/21,108,
22/10/21,103,
23/10/21,85,
24/10/21,64,
25/10/21,103,
26/10/21,90,
27/10/21,141,
28/10/21,130,
29/10/21,95,
30/10/21,126,
31/10/21,97,
01/11/21,110,
02/11/21,127,
03/11/21,121,
04/11/21,152,
05/11/21,109,
06/11/21,144,
07/11/21,94,
08/11/21,137,
09/11/21,100,
10/11/21,160,
11/11/21,136,
12/11/21,124,
13/11/21,140,
14/11/21,112,
15/11/21,129,
16/11/21,146,
17/11/21,155,
18/11/21,140,
19/11/21,153,
20/11/21,150,
21/11/21,119,
22/11/21,155,
23/11/21,149,
24/11/21,179,
25/11/21,170,
26/11/21,181,
27/11/21,148,
28/11/21,148,
29/11/21,181,
30/11/21,169,
01/12/21,217,
02/12/21,146,
03/12/21,169,
04/12/21,182,
05/12/21,140,
06/12/21,164,
07/12/21,175,
08/12/21,189,
09/12/21,220,
10/12/21,340,
11/12/21,211,
12/12/21,241,
13/12/21,291,
14/12/21,331,
15/12/21,425,
16/12/21,507,
17/12/21,479,
18/12/21,549,
19/12/21,590,
20/12/21,929,
21/12/21,1581,
22/12/21,2118,
23/12/21,2374,
24/12/21,2306,
25/12/21,2372,
26/12/21,2588,
27/12/21,3275,
28/12/21,4695,
29/12/21,4845,
30/12/21,5361,
31/12/21,4749,
01/01/22,4133,
02/01/22,4387,
03/01/22,3838,
04/01/22,3786,
05/01/22,3451,
06/01/22,3115,
07/01/22,3049,
08/01/22,2448,
09/01/22,2323,
10/01/22,1851,
11/01/22,2110,
12/01/22,2034,
13/01/22,1604,
14/01/22,1363,
15/01/22,1111,
16/01/22,1014,
17/01/22,950,
18/01/22,1063,
19/01/22,761,
20/01/22,571,
21/01/22,386,
22/01/22,313,
23/01/22,305,
24/01/22,302,
25/01/22,365,
26/01/22,343,
27/01/22,294,
28/01/22,300,
29/01/22,211,
30/01/22,147,
31/01/22,136,
01/02/22,174,
02/02/22,164,
03/02/22,172,
04/02/22,131,
05/02/22,127,
06/02/22,95,
07/02/22,87,
08/02/22,76,
09/02/22,97,
10/02/22,78,
11/02/22,84,
12/02/22,65,
13/02/22,63,
14/02/22,56,
15/02/22,56,
16/02/22,63,
17/02/22,59,
18/02/22,54,
19/02/22,35,
20/02/22,35,
21/02/22,33,
22/02/22,27,
23/02/22,22,
24/02/22,35,
25/02/22,10,
26/02/22,30,
27/02/22,31,
28/02/22,12,
01/03/22,20,
02/03/22,19,
03/03/22,20,
04/03/22,26,
05/03/22,33,
06/03/22,28,
07/03/22,20,
08/03/22,18,
09/03/22,22,
10/03/22,20,
11/03/22,20,
12/03/22,15,
13/03/22,18,
14/03/22,12,
15/03/22,8,
16/03/22,8,
17/03/22,12,
18/03/22,7,
19/03/22,12,
20/03/22,15,
21/03/22,7,
22/03/22,10,
23/03/22,17,
24/03/22,10,
25/03/22,14,
26/03/22,7,
27/03/22,12,
28/03/22,8,
29/03/22,26,
30/03/22,12,
31/03/22,14,
01/04/22,9,
02/04/22,10,
03/04/22,10,
04/04/22,6,
05/04/22,9,
06/04/22,12,
07/04/22,17,
08/04/22,1,
09/04/22,5,
10/04/22,6,
11/04/22,4,
12/04/22,11,
13/04/22,5,
14/04/22,8,
15/04/22,11,
16/04/22,11,
17/04/22,7,
18/04/22,5,
19/04/22,9,
20/04/22,10,
21/04/22,8,
22/04/22,10,
23/04/22,7,
24/04/22,5,
25/04/22,3,
26/04/22,9,
27/04/22,6,
28/04/22,8,
29/04/22,9,
30/04/22,4,
01/05/22,9,
02/05/22,10,
03/05/22,12,
04/05/22,16,
05/05/22,12,
06/05/22,6,
07/05/22,11,
08/05/22,15,
09/05/22,14,
10/05/22,24,
11/05/22,29,
12/05/22,20,
13/05/22,18,
14/05/22,16,
15/05/22,23,
16/05/22,22,
17/05/22,35,
18/05/22,45,
19/05/22,63,
20/05/22,38,
21/05/22,34,
22/05/22,42,
23/05/22,48,
24/05/22,50,
25/05/22,53,
26/05/22,70,
27/05/22,58,
28/05/22,60,
29/05/22,58,
30/05/22,45,
31/05/22,60,
01/06/22,98,
02/06/22,91,
03/06/22,88,
04/06/22,90,
05/06/22,100,
06/06/22,125,
07/06/22,140,
08/06/22,190,
09/06/22,213,
10/06/22,218,
11/06/22,227,
12/06/22,236,
13/06/22,225,
14/06/22,256,
15/06/22,302,
16/06/22,352,
17/06/22,356,
18/06/22,370,
19/06/22,350,
20/06/22,361,
21/06/22,372,
22/06/22,506,
23/06/22,599,
24/06/22,395,
25/06/22,377,
26/06/22,455,
27/06/22,393,
28/06/22,314,
29/06/22,457,
30/06/22,431,
01/07/22,448,
02/07/22,462,
03/07/22,399,
04/07/22,354,
05/07/22,451,
06/07/22,457,
07/07/22,400,
08/07/22,317,
09/07/22,261,
10/07/22,272,
11/07/22,274,
12/07/22,263,
13/07/22,245,
14/07/22,193,
15/07/22,151,
16/07/22,157,
17/07/22,128,
18/07/22,134,
19/07/22,118,
20/07/22,113,
21/07/22,106,
22/07/22,100,
23/07/22,81,
24/07/22,80,
25/07/22,89,
26/07/22,82,
27/07/22,114,
28/07/22,74,
29/07/22,52,
30/07/22,52,
31/07/22,58,
01/08/22,53,
02/08/22,43,
03/08/22,42,
04/08/22,61,
05/08/22,53,
06/08/22,42,
07/08/22,30,
08/08/22,28,
09/08/22,18,
10/08/22,35,
11/08/22,20,
12/08/22,24,
13/08/22,23,
14/08/22,11,
15/08/22,5,
16/08/22,20,
17/08/22,37,
18/08/22,18,
19/08/22,13,
20/08/22,16,
21/08/22,16,
22/08/22,10,
23/08/22,21,
24/08/22,21,
25/08/22,19,
26/08/22,10,
27/08/22,8,
28/08/22,14,
29/08/22,10,
30/08/22,12,
31/08/22,17,
01/09/22,11,
02/09/22,9,
03/09/22,13,
04/09/22,12,
05/09/22,8,
06/09/22,9,
07/09/22,6,
08/09/22,8,
09/09/22,9,
10/09/22,16,
11/09/22,7,
12/09/22,8,
13/09/22,8,
14/09/22,7,
15/09/22,8,
16/09/22,9,
17/09/22,9,
18/09/22,8,
19/09/22,5,
20/09/22,2,
21/09/22,12,
22/09/22,13,
23/09/22,6,
24/09/22,12,
25/09/22,11,
26/09/22,7,
27/09/22,6,
28/09/22,4,
29/09/22,8,
30/09/22,8,
01/10/22,10,
02/10/22,4,
03/10/22,7,
