Fecha,I0,I,N
2020-03-14,7,7,32941000
2020-03-15,7,0,
2020-03-16,7,0,
2020-03-17,8,1,
2020-03-18,10,2,
2020-03-19,14,4,
2020-03-20,20,6,
2020-03-21,27,7,
2020-03-22,27,0,
2020-03-23,30,3,
2020-03-24,30,0,
2020-03-25,35,5,
2020-03-26,36,1,
2020-03-27,40,4,
2020-03-28,49,9,
2020-03-29,72,23,
2020-03-30,97,25,
2020-03-31,120,23,
2020-04-01,152,32,
2020-04-02,293,141,
2020-04-03,386,93,
2020-04-04,445,59,
2020-04-05,503,58,
2020-04-06,525,22,
2020-04-07,576,51,
2020-04-08,669,93,
2020-04-09,720,51,
2020-04-10,903,183,
2020-04-11,1069,166,
2020-04-12,1154,85,
2020-04-13,1510,356,
2020-04-14,1561,51,
2020-04-15,1578,17,
2020-04-16,1640,62,
2020-04-17,1707,67,
2020-04-18,2057,350,
2020-04-19,2437,380,
2020-04-20,2515,78,
2020-04-21,2590,75,
2020-04-22,2682,92,
2020-04-23,2810,128,
2020-04-24,2948,138,
2020-04-25,3059,111,
2020-04-26,3352,293,
2020-04-27,3542,190,
2020-04-28,3748,206,
2020-04-29,3873,125,
2020-04-30,3949,76,
2020-05-01,4172,223,
2020-05-02,4556,384,
2020-05-03,4983,427,
2020-05-04,5332,349,
2020-05-05,5538,206,
2020-05-06,5966,428,
2020-05-07,6414,448,
2020-05-08,6752,338,
2020-05-09,6976,224,
2020-05-10,7357,381,
2020-05-11,7667,310,
2020-05-12,8073,406,
2020-05-13,8432,359,
2020-05-14,8904,472,
2020-05-15,9329,425,
2020-05-16,9767,438,
2020-05-17,10189,422,
2020-05-18,10488,299,
2020-05-19,10988,500,
2020-05-20,11522,534,
2020-05-21,12093,571,
2020-05-22,12753,660,
2020-05-23,13344,591,
2020-05-24,13852,508,
2020-05-25,14487,635,
2020-05-26,14899,412,
2020-05-27,15691,792,
2020-05-28,16715,1024,
2020-05-29,17820,1105,
2020-05-30,18983,1163,
2020-05-31,20278,1295,
2020-06-01,21268,990,
2020-06-02,22566,1298,
2020-06-03,24079,1513,
2020-06-04,25438,1359,
2020-06-05,26768,1330,
2020-06-06,28088,1320,
2020-06-07,29370,1282,
2020-06-08,30377,1007,
2020-06-09,31743,1366,
2020-06-10,33244,1501,
2020-06-11,35121,1877,
2020-06-12,37258,2137,
2020-06-13,39392,2134,
2020-06-14,41616,2224,
2020-06-15,43263,1647,
2020-06-16,45122,1859,
2020-06-17,47536,2414,
2020-06-18,50413,2877,
2020-06-19,53550,3137,
2020-06-20,57180,3630,
2020-06-21,60180,3000,
2020-06-22,63089,2909,
2020-06-23,67036,3947,
2020-06-24,70824,3788,
2020-06-25,74214,3390,
2020-06-26,77674,3460,
2020-06-27,80622,2948,
2020-06-28,83511,2889,
2020-06-29,85595,2084,
2020-06-30,87794,2199,
2020-07-01,90236,2442,
2020-07-02,92609,2373,
2020-07-03,95129,2520,
2020-07-04,97634,2505,
2020-07-05,99878,2244,
2020-07-06,101257,1379,
2020-07-07,103265,2008,
2020-07-08,105298,2033,
2020-07-09,107485,2187,
2020-07-10,109574,2089,
2020-07-11,111355,1781,
2020-07-12,112928,1573,
2020-07-13,114174,1246,
2020-07-14,115780,1606,
