Fecha,I0,I,N
2020-03-14,7,7,32941000
2020-03-15,7,0,
2020-03-16,0,0,
2020-03-17,1,1,
2020-03-18,3,2,
2020-03-19,6,4,
2020-03-20,10,6,
2020-03-21,13,7,
2020-03-22,7,0,
2020-03-23,3,3,
2020-03-24,3,0,
2020-03-25,5,5,
2020-03-26,6,1,
2020-03-27,5,4,
2020-03-28,13,9,
2020-03-29,32,23,
2020-03-30,48,25,
2020-03-31,48,23,
2020-04-01,55,32,
2020-04-02,173,141,
2020-04-03,234,93,
2020-04-04,152,59,
2020-04-05,117,58,
2020-04-06,80,22,
2020-04-07,73,51,
2020-04-08,144,93,
2020-04-09,144,51,
2020-04-10,234,183,
2020-04-11,349,166,
2020-04-12,251,85,
2020-04-13,441,356,
2020-04-14,407,51,
2020-04-15,68,17,
2020-04-16,79,62,
2020-04-17,129,67,
2020-04-18,253,186,
2020-04-19,296,110,
2020-04-20,188,78,
2020-04-21,153,75,
2020-04-22,167,92,
2020-04-23,220,128,
2020-04-24,266,138,
2020-04-25,249,111,
2020-04-26,404,293,
2020-04-27,483,190,
2020-04-28,396,206,
2020-04-29,331,125,
2020-04-30,201,76,
2020-05-01,299,223,
2020-05-02,607,384,
2020-05-03,811,427,
2020-05-04,776,349,
2020-05-05,555,206,
2020-05-06,634,428,
2020-05-07,876,448,
2020-05-08,786,338,
2020-05-09,562,224,
2020-05-10,605,381,
2020-05-11,691,310,
2020-05-12,716,406,
2020-05-13,765,359,
2020-05-14,831,472,
2020-05-15,897,425,
2020-05-16,863,438,
2020-05-17,860,422,
2020-05-18,721,299,
2020-05-19,799,500,
2020-05-20,1034,534,
2020-05-21,1105,571,
2020-05-22,1231,660,
2020-05-23,1251,591,
2020-05-24,1099,508,
2020-05-25,1143,635,
2020-05-26,1047,412,
2020-05-27,1204,792,
2020-05-28,1816,1024,
2020-05-29,2129,1105,
2020-05-30,2268,1163,
2020-05-31,2458,1295,
2020-06-01,2285,990,
2020-06-02,2288,1298,
2020-06-03,2811,1513,
2020-06-04,2872,1359,
2020-06-05,2689,1330,
2020-06-06,2650,1320,
2020-06-07,2602,1282,
2020-06-08,2289,1007,
2020-06-09,2373,1366,
2020-06-10,2867,1501,
2020-06-11,3378,1877,
2020-06-12,4014,2137,
2020-06-13,4271,2134,
2020-06-14,4358,2224,
2020-06-15,3871,1647,
2020-06-16,3506,1859,
2020-06-17,4273,2414,
2020-06-18,5291,2877,
2020-06-19,6014,3137,
2020-06-20,6767,3630,
2020-06-21,6630,3000,
2020-06-22,5909,2909,
2020-06-23,6856,3947,
2020-06-24,7735,3788,
2020-06-25,7178,3390,
2020-06-26,6850,3460,
2020-06-27,6408,2948,
2020-06-28,5837,2889,
2020-06-29,4973,2084,
2020-06-30,4283,2199,
2020-07-01,4641,2442,
2020-07-02,4815,2373,
2020-07-03,4893,2520,
2020-07-04,5025,2505,
2020-07-05,4749,2244,
2020-07-06,3623,1379,
2020-07-07,3387,2008,
2020-07-08,4041,2033,
2020-07-09,4220,2187,
2020-07-10,4276,2089,
2020-07-11,3870,1781,
2020-07-12,3354,1573,
2020-07-13,2819,1246,
2020-07-14,2852,1606,
2020-07-15,3253,1647,
2020-07-16,3299,1652,
2020-07-17,3114,1462,
