Fecha,I0,N
2020-03-02,1,2523925
2020-03-03,0,
2020-03-04,0,
2020-03-05,1,
2020-03-06,0,
2020-03-07,1,
2020-03-08,0,
2020-03-09,4,
2020-03-10,4,
2020-03-11,2,
2020-03-12,9,
2020-03-13,6,
2020-03-14,10,
2020-03-15,16,
2020-03-16,16,
2020-03-17,15,
2020-03-18,18,
2020-03-19,20,
2020-03-20,35,
2020-03-21,20,
2020-03-22,16,
2020-03-23,26,
2020-03-24,25,
2020-03-25,27,
2020-03-26,22,
2020-03-27,16,
2020-03-28,18,
2020-03-29,9,
2020-03-30,23,
2020-03-31,16,
2020-04-01,23,
2020-04-02,21,
2020-04-03,17,
2020-04-04,15,
2020-04-05,18,
2020-04-06,20,
2020-04-07,16,
2020-04-08,14,
2020-04-09,27,
2020-04-10,12,
2020-04-11,20,
2020-04-12,18,
2020-04-13,34,
2020-04-14,22,
2020-04-15,27,
2020-04-16,11,
2020-04-17,14,
2020-04-18,28,
2020-04-19,23,
2020-04-20,43,
2020-04-21,25,
2020-04-22,31,
2020-04-23,23,
2020-04-24,27,
2020-04-25,26,
2020-04-26,33,
2020-04-27,33,
2020-04-28,33,
2020-04-29,28,
2020-04-30,31,
2020-05-01,69,
2020-05-02,51,
2020-05-03,37,
2020-05-04,58,
2020-05-05,55,
2020-05-06,49,
2020-05-07,54,
2020-05-08,65,
2020-05-09,85,
2020-05-10,81,
2020-05-11,68,
2020-05-12,71,
2020-05-13,96,
2020-05-14,93,
2020-05-15,96,
2020-05-16,86,
2020-05-17,70,
2020-05-18,122,
2020-05-19,92,
2020-05-20,131,
2020-05-21,89,
2020-05-22,104,
2020-05-23,98,
2020-05-24,70,
2020-05-25,107,
2020-05-26,108,
2020-05-27,109,
2020-05-28,136,
2020-05-29,118,
2020-05-30,121,
2020-05-31,98,
2020-06-01,242,
2020-06-02,128,
2020-06-03,133,
2020-06-04,106,
2020-06-05,242,
2020-06-06,174,
2020-06-07,134,
2020-06-08,222,
2020-06-09,211,
2020-06-10,227,
2020-06-11,230,
2020-06-12,210,
2020-06-13,166,
2020-06-14,150,
2020-06-15,186,
2020-06-16,234,
2020-06-17,222,
2020-06-18,203,
2020-06-19,245,
2020-06-20,273,
2020-06-21,219,
2020-06-22,347,
2020-06-23,340,
2020-06-24,318,
2020-06-25,440,
2020-06-26,421,
2020-06-27,380,
2020-06-28,371,
2020-06-29,416,
2020-06-30,479,
2020-07-01,592,
