Year,I,N,I,Nt
1941,0.00146383544179796,1,193468,132165129
1942,0.00160710318680202,,212403,132165129
1943,0.00208126002737076,,275070,132165129
1944,0.00227500250841506,,300676,132165129
1945,0.00217289539361022,,287181,132165129
1946,0.00278454687707718,,368020,132165130
1947,0.00288023018718909,,380666,132165131
1948,0.00261416150214264,,345501,132165132
1949,0.00240570256907319,,317950,132165133
1950,0.00189489170907924,,286746,151325798
1951,0.00168160355579291,,254470,151325798
1952,0.00161873919211052,,244957,151325798
1953,0.00157501234521823,,238340,151325798
1954,0.00159952898447626,,242050,151325798
1955,0.0015608508471239,,236197,151325798
1956,0.00148253637492796,,224346,151325798
1957,0.0014174450281108,,214496,151325798
1958,0.00153566677375129,,232386,151325798
1959,0.00158766055210229,,240254,151325798
1960,0.00144394610456791,,258933,179323175
1961,0.00147308344278424,,264158,179323175
1962,0.00147060746610136,,263714,179323175
1963,0.00155188530428373,,278289,179323175
1964,0.00167667118318645,,300666,179323175
1965,0.0018119520803711,,324925,179323175
1966,0.00196147542000637,,351738,179323175
1967,0.00225757769457294,,404836,179323175
1968,0.00259053521665563,,464543,179323175
1969,0.00298272657730937,,534872,179323175
1970,0.00295293692556213,,600072,203211926
1971,0.00329836940770888,,670268,203211926
1972,0.0037754427857743,,767215,203211926
1973,0.00414651352696692,,842621,203211926
1974,0.00445899518712302,,906121,203211926
1975,0.00492066100490579,,999937,203211926
1976,0.00493078344230643,,1001994,203211926
1977,0.0049318906607873,,1002219,203211926
1978,0.00498708919278684,,1013436,203211926
1979,0.00494094032650426,,1004058,203211926
1980,0.00443190285514225,,1004029,226545805
1981,0.00437379098677197,,990864,226545805
1982,0.00424034777426137,,960633,226545805
1983,0.00397462667649043,,900435,226545805
1984,0.00387805018062462,,878556,226545805
1985,0.00402311135269091,,911419,226545805
1986,0.00393840442112799,,892229,226545805
1987,0.00347625946991161,,787532,226545805
1988,0.00325832561763834,,738160,226545805
1989,0.00323684651763911,,733294,226545805
1990,0.00277448575593941,,690042,248709873
1991,0.00250057624371028,,621918,248709873
1992,0.00202186585491924,,502858,248709873
1993,0.0017878220700953,,444649,248709873
1994,0.00168711436718879,,419602,248709873
1995,0.00157875115798077,,392651,248709873
1996,0.00131948521400274,,328169,248709873
1997,0.00131745875645234,,327665,248709873
1998,0.00143336489098686,,356492,248709873
1999,0.00145073854788225,,360813,248709873
2000,0.00129036152572998,,363136,281421906
2001,0.00128527663372446,,361705,281421906
2002,0.00125026514460463,,351852,281421906
2003,0.00119075307520659,,335104,281421906
2004,0.00117308565169053,,330132,281421906
2005,0.0012067042144189,,339593,281421906
2006,0.00127341188571156,,358366,281421906
2007,0.00126497259953886,,355991,281421906
2008,0.00119657351762801,,336742,281421906
2009,0.00107018676790569,,301174,281421906
2010,0.00100192864973485,,309341,308745538
2011,0.00104244097610246,,321849,308745538
2012,0.0010844723527632,,334826,308745538
2013,0.00107857105290377,,333004,308745538
2014,0.00113382043435394,,350062,308745538
2015,0.0012800703212106,,395216,308745538
2016,0.0015174761813076,,468514,308745538
2017,0.00179956608798019,,555608,308745538
2018,0.0018895981583384,,583405,308745538
2019,0.00199644018823035,,616392,308745538
2020,0.00204486489744414,,677769,331449281
2021,0.00214256310304079,,710151,331449281
2022,0.00195521920592128,,648056,331449281
